abate                                             减弱
stoic                                             禁欲主义的
dour                                              严肃的
soft-pedal                                        弱音踏板
apprehend                                         理解 逮捕
dire                                              可怕的
shoddy                                            劣质的
chicanery                                         欺骗
declamatory                                       演说般的
kinfolk                                           亲戚
tumultuous                                        混乱的
rile                                              激怒
shun                                              回避
provincial                                        眼光窄的
deflate                                           使泄气
vociferous                                        吵嚷的
impair                                            损害 削弱
gambit                                            策略
archetypal                                        典型的
overdue                                           延误的
catalyze                                          催化 促进
fertile                                           多产的
impute                                            归咎于
amid                                              在之中 -midst
ponderous                                         笨重的
rankle                                            使痛苦
hideous                                           丑陋吓人的
nostrum                                           （未经科学证明的）神药
noisome                                           有害的 恶臭的
prevarication                                     搪塞 说谎
chauvinistic                                      
thwart                                            阻挠
buoyant                                           漂浮的 愉快的
inhibit                                           抑制 -hinder -bridle
annals                                            编年史 历史记载
enforce                                           强制 实施
reckless                                          鲁莽的
endorse                                           批准
brazen                                            无耻的
enthrall                                          吸引
belie                                             掩饰 与...不符
snob                                              势利小人
antiquarian                                       古文物研究的
degrade                                           贬低
transgress                                        违反
esteem                                            尊敬
strident                                          尖锐刺耳的
authoritarian                                     专制的
cognizant                                         认识到的
delineate                                         描述 刻画
provision                                         预备；提供
perpetuate                                        持续
libertine                                         放荡的
quandary                                          困境
maze                                              迷宫
gratify                                           使满意
understate                                        少说
incense                                           激怒 -cend 火
senuous                                           感官愉悦的
stagnate                                          停滞
precipitate                                       突然发生 -n 沉淀
pretentious                                       狂妄的 虚伪的
prepossessing                                     有魅力的
reflective                                        反省的 沉思的
heft                                              重量 体积 -hefty 大且重的
glean                                             收集
spurious                                          假的
brink                                             边缘
quiver                                            战栗
decrepitude                                       衰老
glorify                                           赞美
cliche                                            陈词滥调
solitary                                          单独的
inure                                             使习惯于
apt                                               合适的 灵巧的
run-of-the-mill                                   平凡的
perfidious                                        不诚实的 -perfidy 不忠诚
banish                                            驱逐
accord                                            一致
cornerstone                                       基石
canny                                             聪明的
rhetorical                                        有说服力的
teem                                              充满
wary                                              小心
heresy                                            异端
sway                                              摇摆
rectitude                                         正直
hypercritical                                     吹毛求疵的
loath                                             不情愿的
deadpan                                           面无表情的
vivacity                                          活力
burgeon                                           暴涨
deference                                         顺从 尊敬
laconic                                           简洁的
crestfallen                                       沮丧的
poise                                             使平衡 -n 沉着；姿势
peripatetic                                       巡游的 -itineran
ethos                                             气质
obsequious                                        奉承的
inexorable                                        无情的
flair                                             天分
segregate                                         分离 隔
clutch                                            抓住
virtuosity                                        精湛技艺
frugal                                            节俭的
trepidation                                       恐惧
slapdash                                          草率的
encroach                                          侵占
evocative                                         唤起的 -
labyrinth                                         迷宫 错综复杂
delegate                                          代表 委托
rue                                               懊悔
extol                                             赞美
recoil                                            畏缩
boisterous                                        吵闹的
appreciable                                       可感知的 可估计的
allure                                            引诱
thrift                                            节俭
handicap                                          障碍
controvert                                        反驳
discount                                          低估
susceptible                                       易受影响的
counterproductive                                 反作用的
ramshackle                                        摇摇欲坠的
meld                                              混合
calumniate                                        诽谤 中伤
retrofit                                          翻新
exhaustive                                        彻底的 全面的
antagonistic                                      敌对的 -adversarial -inimical
accede                                            正式加入 同意
tortuous                                          弯曲的 -convoluted
nominal                                           名义上的 微不足道的
obsolete                                          废弃的 过时的
redeem                                            挽回 赎回
sloth                                             懒惰
prescience                                        先知
apolitical                                        政治无关的
decimate                                          大量毁灭
alleviate                                         减轻
soporific                                         令人昏昏欲睡的
hearten                                           鼓舞
eminent                                           杰出的
sectarian                                         狭隘的
posit                                             假定
immortal                                          不朽的
reminiscent                                       怀旧的
purview                                           眼界 视野
pathogen                                          病原体 -patho 病
feat                                              功绩
sanction                                          批准 -n 制裁
meager                                            不足的
warble                                            低吟浅唱
annotate                                          注释
hidebound                                         守旧的
dismissive                                        轻视的
ingratiate                                        讨好 -grat 谢
antecedent                                        先前的
cleave                                            劈开
disjunction                                       分离
wrench                                            歪曲 扭伤
proximity                                         接近
inhospitable                                      不友好的
divulge                                           泄露
ennoble                                           使高贵
whereabouts                                       行踪
primitive                                         原始的
arresting                                         吸引人的
abstemious                                        节制的
histrionic                                        做作的
parochial                                         狭隘的 -parochia 教区
proponent                                         支持者
colloquial                                        口头的
puerile                                           幼稚的
indolent                                          懒惰的
ferocious                                         凶猛的 强烈的
enigmatic                                         难懂的
allege                                            断言
subterfuge                                        诡计
lament                                            哀悼
heartrending                                      心塞的
irascible                                         易怒的
dissemble                                         掩饰
equable                                           平静的
commonplace                                       平庸
anneal                                            退火 锻炼
inveigle                                          诱骗
quintessential                                    典型的 精华的 -
adjure                                            恳求 -adjure/ab
recruit                                           招募
spew                                              喷出
stipulate                                         规定
perforce                                          必然的 -adv
malign                                            诋毁 -adj 恶性的
sate                                              使满足 使腻烦
plaintive                                         悲伤的
riddle                                            谜题 -enigma -conundrum
illuminate                                        阐明
admonish                                          劝告
cloying                                           令人腻烦的
benign                                            良性的
hackneyed                                         陈腐的 -hackney 老马
mendacious                                        欺骗的 -mendacity
interminable                                      持续的
unfetter                                          解放
attenuate                                         使减弱
disquiet                                          使不安
sabotage                                          故意破坏
prophetic                                         预言的
paradigm                                          典范
conduce                                           引导
condescend                                        屈尊
ancillary                                         辅助的
implore                                           恳求
alarmism                                          危言耸听
instantiate                                       例证
inert                                             惰性的
erratic                                           飘忽不定的 古怪的
brusque                                           粗鲁的 莽撞的
coddle                                            溺爱
vapid                                             无聊的
barring                                           -prep 不包括
lurk                                              潜伏 暗中行动
demographic                                       人口统计相关的
encumber                                          妨碍
preternatual                                      异常的 超自然的
instigate                                         唆使 激起
demonstrable                                      可证明的
impecunious                                       贫穷的
certitude                                         确信
proprietary                                       所有物 专有的
pastiche                                          模仿品
lionize                                           重视 尊敬
jovial                                            快乐的
bountiful                                         丰富的 慷慨的
predate                                           先于
ponder                                            沉思
prescient                                         有预见能力的
callow                                            幼稚的
appease                                           安抚
assuage                                           缓和
stingy                                            吝啬
senescence                                        衰老 -sen 老
heterogeneous                                     多种多样的
truculent                                         易怒的 好斗的
procure                                           取得 获得
benighted                                         无知的 愚昧的
fad                                               一时得流行
jubilant                                          喜悦的
prodigal                                          奢侈浪费的
inconclusive                                      不确定的
idiosyncrasy                                      习性 气质 癖好
draconian                                         极其严苛的
blatant                                           公然的
civility                                          礼貌
tactful                                           机智的 圆滑的
quell                                             镇压
sacrosanct                                        神圣的
deflect                                           使偏离
nonplus                                           使困惑
feasible                                          可行的
pillage                                           掠夺
animus                                            敌意
lenient                                           仁慈的 宽容的
ornamental                                        装饰性的
indict                                            指控
grapple                                           抓住
obeisance                                         尊敬
immense                                           巨大的
abreast                                           并排 并列
abstruse                                          深奥的 隐藏的
ecumenical                                        (基督教各派)多元的
scathing                                          尖酸刻薄的
exonerate                                         免罪
mediocre                                          平庸的
malodorous                                        难闻的
personable                                        品貌兼优的
undue                                             过量的
wield                                             使用 运用
colossal                                          巨大的
feign                                             假装
perturb                                           使不安
