futile                        无用的
retribution                   惩罚
hidebound                     守旧的
pledge                        许诺 发誓
perception                    知觉 察觉
profligate                    挥霍浪费的
retiring                      害羞的
designate                     指定
avow                          承认 公开声明
aspersion                     诽谤
apropos                       合适的 就什么而言
debonair                      男子温文尔雅的
hypercritical                 吹毛求疵的
counterproductive             反作用的
impolitic                     不明智的
exhilarate                    使兴奋
asseverate                    郑重声明
supplant                      取代
crestfallen                   沮丧的
hoax                          欺骗
tilt                          倾斜
partisan                      党羽
fealty                        忠诚
jaded                         厌倦的
sequester                     使隔离
culmination                   极点 高潮 成就
respite                       喘息 暂歇
rehabilitate                  恢复
rebuke                        指责
capricious                    变化多端的 -caprice 任性的想法 -impulsive -cavalier -fickle -versatile -volatile -errat
antagonistic                  敌对的 -adversarial -inimical
*pillage                      掠夺
wistful                       伤感的
prescient                     有预见能力的
goad                          刺激
disprove                      反驳 证明虚假
surmount                      战胜
genteel                       有教养的
verisimilitude                逼真
betoken                       预示
assail                        批评；攻击
castigate                     严厉批评
pine                          渴望 -n  松树
puerile                       幼稚的
outmoded                      过时的
downplay                      贬低
unfetter                      解放
peerless                      无与伦比的
civility                      礼貌
disconcerting                 不安的
invigorate                    使有活力
blight                        破坏 凋萎
archaic                       过时的 古老的
foreground                    强调
abiding                       持久的
elegiac                       伤感的
lament                        哀悼
paragon                       典范
caricature                    讽刺画
gossamer                      轻而薄的 虚无缥缈的 -n 蛛丝
enamor                        使喜欢
didactic                      教学的
germane                       有关的
forgo                         放弃
astute                        敏锐的
exacting                      严格的 费劲的
extirpate                     根除 -elimin
amass                         积累 积聚
quixotic                      不切实际的 -Quixote 堂吉诃德
animus                        敌意
obeisance                     尊敬
*roil                         搅乱
valorize                      规定价格
fastidious                    挑剔的
immense                       巨大的
muckrake                      揭露丑闻
monogamy                      一夫一妻制
voluminous                    庞大浩繁的
hermetic                      密闭的 深奥的
reconciliate                  和解
uneventful                    平凡的
panoply                       全副 全套
umbrage                       生气
transitory                    短暂的
disengage                     使解脱
yearn                         渴望
callow                        幼稚的
quotidian                     日常的
plague                        瘟疫 灾害
dismissive                    轻视的
emotive                       有感染力的
monolithic                    庞大僵化的
enjoin                        禁止
inhospitable                  不友好的
clangorous                    叮当响的
majestic                      庄严宏伟的
brainchild                    劳动成果
hectic                        忙的
abet                          教唆 怂恿
needy                         贫穷的
corrode                       腐蚀 削弱
nimble                        灵活的
disperse                      分散
implore                       恳求
steadfast                     坚定不移地
avian                         鸟类的
recrudescent                  复发的
seditious                     煽动性的
grapple                       抓住
prime                         首要的 -v 使准备好
versatile                     多功能的
mercenary                     唯利是图的 -merchant
streamline                    简化  使现代化
nonchalant                    漠不关心的
deadpan                       面无表情的
unctuous                      油腻的 虚情假意的
hasty                         仓促的
labyrinth                     迷宫 错综复杂
ingratiate                    讨好 -grat 谢
abolish                       废除
ferment                       骚动
predate                       先于
undo                          松开 解开 取消
affable                       和蔼可亲的 -cordial -gent
sycophantic                   奉承的
synopsis                      概要
bathetic                      平庸的 陈腐的
congenial                     友善的
nullify                       使无效
inconclusive                  不确定的
apposite                      合适的
tortuous                      弯曲的 -convoluted
extinguish                    熄灭 -do
exempt                        免除
collected                     镇静的
hubris                        自大
duplicitous                   骗人的 两面派的 -duplicate
pillory                       批评
sleazy                        低俗的
ardent                        热衷的 -ard 火
incorrigible                  屡教不改的
abeyance                      中止 暂停
cogent                        有说服力的
omnipresent                   无处不在的 -
instigate                     唆使 激起
surplus                       过量
reparation                    赔偿 修理
encumber                      妨碍
*precarious                   危险的
bifurcate                     分岔的 -bi -fork
gleam                         微光
austere                       简朴的
insightful                    有洞察力的
abdicate                      退位 放弃（权力）
heretofore                    迄今为止
sanguine                      乐观的
fertile                       多产的
abhor                         厌恶
pendulum                      钟摆 摇摆不定
obnoxious                     令人讨厌的
*mollify                      安抚
pregnable                     易受攻击的
hereabouts                    在附近
underscore                    强调
exacerbate                    恶化
morbid                        病态的
agonize                       苦苦思索 -agonize over
ornamental                    装饰性的
invective                     猛烈抨击
sectarian                     狭隘的
